bratislava 1200 3238384
bratislava 1230 3366390
bratislava 1260 3484131
bratislava 1290 3606223
bratislava 1320 3726609
bratislava 1350 3843968
bratislava 1380 3945303
bratislava 1410 4046799
bratislava 1440 4139199
ljubljana 0 0
ljubljana 30 333
ljubljana 60 1335
ljubljana 90 4339
ljubljana 120 8012
ljubljana 150 14354
ljubljana 180 21365
ljubljana 210 31379
ljubljana 240 45733
ljubljana 270 61755
ljubljana 300 78445
ljubljana 330 99138
ljubljana 360 114488
ljubljana 390 143519
ljubljana 420 183222
ljubljana 450 225593
ljubljana 480 272630
ljubljana 510 320662
ljubljana 540 373029
ljubljana 570 438386
ljubljana 600 505404
ljubljana 630 588408
ljubljana 660 684042
ljubljana 690 792646
ljubljana 720 898549
ljubljana 750 1020101
ljubljana 780 1162895
ljubljana 810 1303638
ljubljana 840 1447648
ljubljana 870 1574036
ljubljana 900 1696404
ljubljana 930 1804157
ljubljana 960 1913569
ljubljana 990 2037007
ljubljana 1020 2184818
ljubljana 1050 2321265
ljubljana 1080 2458760
ljubljana 1110 2594168
ljubljana 1140 2715873
ljubljana 1170 2826206
ljubljana 1200 2953048
ljubljana 1230 3071151
ljubljana 1260 3186903
ljubljana 1290 3306307
ljubljana 1320 3401693
ljubljana 1350 3496456
ljubljana 1380 3575577
ljubljana 1410 3650701
ljubljana 1440 3721227
podgorica 0 0
podgorica 30 0
podgorica 60 0
podgorica 90 0
podgorica 120 0
podgorica 150 0
podgorica 180 0
podgorica 210 667
podgorica 240 1000
podgorica 270 3002
podgorica 300 4003
podgorica 330 6338
podgorica 360 8006
podgorica 390 10675
podgorica 420 13344
podgorica 450 16012
podgorica 480 20349
podgorica 510 25020
podgorica 540 29023
podgorica 570 33360
podgorica 600 38364
podgorica 630 43368
podgorica 660 50040
podgorica 690 55378
podgorica 720 62718
podgorica 750 68723
podgorica 780 78064
podgorica 810 86072
podgorica 840 95414
podgorica 870 106092
podgorica 900 115769
podgorica 930 123442
podgorica 960 133120
podgorica 990 143797
podgorica 1020 153808
podgorica 1050 164819
podgorica 1080 175164
podgorica 1110 187846
podgorica 1140 202529
podgorica 1170 221217
podgorica 1200 237237
podgorica 1230 258592
podgorica 1260 277947
podgorica 1290 299973
podgorica 1320 326667
podgorica 1350 359372
podgorica 1380 391067
podgorica 1410 429105
podgorica 1440 465806
zagreb 0 0
zagreb 30 0
zagreb 60 3004
zagreb 90 7010
zagreb 120 14355
zagreb 150 23703
zagreb 180 32717
zagreb 210 47406
zagreb 240 61093
zagreb 270 80455
zagreb 300 103822
zagreb 330 122849
zagreb 360 149551
zagreb 390 177254
zagreb 420 207623
zagreb 450 230650
zagreb 480 259683
zagreb 510 285707
zagreb 540 320072
zagreb 570 360767
zagreb 600 406801
zagreb 630 464500
zagreb 660 523191
zagreb 690 598221
zagreb 720 678221
zagreb 750 754895
zagreb 780 853189
zagreb 810 956132
zagreb 840 1058038
zagreb 870 1172588
zagreb 900 1289084
zagreb 930 1413829
zagreb 960 1550864
zagreb 990 1687516
zagreb 1020 1806558
zagreb 1050 1936926
zagreb 1080 2049367
zagreb 1110 2181837
zagreb 1140 2322629
zagreb 1170 2468812
zagreb 1200 2606558
zagreb 1230 2738992
zagreb 1260 2871641
zagreb 1290 3002172
zagreb 1320 3130006
zagreb 1350 3256469
zagreb 1380 3379487
zagreb 1410 3483623
zagreb 1440 3584362
belgrade 0 0
belgrade 30 0
belgrade 60 667
belgrade 90 2003
belgrade 120 4339
belgrade 150 8346
belgrade 180 14354
belgrade 210 21031
belgrade 240 30377
belgrade 270 40057
belgrade 300 49404
belgrade 330 62422
belgrade 360 74438
belgrade 390 90460
belgrade 420 107482
belgrade 450 123169
belgrade 480 144862
belgrade 510 165221
belgrade 540 183577
belgrade 570 211609
belgrade 600 234302
belgrade 630 270009
belgrade 660 307713
belgrade 690 343749
belgrade 720 385788
belgrade 750 430828
belgrade 780 474860
belgrade 810 515561
belgrade 840 562923
belgrade 870 609953
belgrade 900 665977
belgrade 930 719659
belgrade 960 773667
belgrade 990 830673
belgrade 1020 890341
belgrade 1050 948355
belgrade 1080 1007351
belgrade 1110 1086353
belgrade 1140 1156345
belgrade 1170 1229676
belgrade 1200 1309324
belgrade 1230 1393951
belgrade 1260 1495557
belgrade 1290 1597116
belgrade 1320 1723635
belgrade 1350 1841759
belgrade 1380 1970165
belgrade 1410 2118435
belgrade 1440 2248018
sofia 0 0
sofia 30 333
sofia 60 2667
sofia 90 5669
sofia 120 11671
sofia 150 16340
sofia 180 23342
sofia 210 35014
sofia 240 47018
sofia 270 60690
sofia 300 75364
sofia 330 91035
sofia 360 108379
sofia 390 122049
sofia 420 137390
sofia 450 157399
sofia 480 175406
sofia 510 189078
sofia 540 206086
sofia 570 222428
sofia 600 240104
sofia 630 256109
sofia 660 271782
sofia 690 293795
sofia 720 309468
sofia 750 332818
sofia 780 351830
sofia 810 371514
sofia 840 394193
sofia 870 414875
sofia 900 432887
sofia 930 455241
sofia 960 472592
sofia 990 496611
sofia 1020 521305
sofia 1050 541325
sofia 1080 567020
sofia 1110 586372
sofia 1140 606055
sofia 1170 627745
sofia 1200 647425
sofia 1230 669777
sofia 1260 694130
sofia 1290 711142
sofia 1320 740834
sofia 1350 764851
sofia 1380 789201
sofia 1410 819890
sofia 1440 848905
minsk 0 0
minsk 30 330
minsk 60 660
minsk 90 2311
minsk 120 4292
minsk 150 6274
minsk 180 12551
minsk 210 17834
minsk 240 30389
minsk 270 42276
minsk 300 63407
minsk 330 87851
minsk 360 116562
minsk 390 154863
minsk 420 194135
minsk 450 240997
minsk 480 288855
minsk 510 337354
minsk 540 392467
minsk 570 452863
minsk 600 509632
minsk 630 572005
minsk 660 631435
minsk 690 698773
minsk 720 770068
minsk 750 839757
minsk 780 926343
minsk 810 1011294
minsk 840 1119766
minsk 870 1225253
minsk 900 1341334
minsk 930 1455756
minsk 960 1571530
minsk 990 1691856
minsk 1020 1797007
minsk 1050 1913416
minsk 1080 2022795
minsk 1110 2126849
minsk 1140 2240541
minsk 1170 2383007
minsk 1200 2529499
minsk 1230 2690139
minsk 1260 2850711
minsk 1290 3007434
minsk 1320 3171584
minsk 1350 3344430
minsk 1380 3523431
minsk 1410 3706673
minsk 1440 3901002
vilnius 0 0
vilnius 30 659
vilnius 60 2307
vilnius 90 6591
vilnius 120 12850
vilnius 150 20425
vilnius 180 30637
vilnius 210 42157
vilnius 240 58619
vilnius 270 72113
vilnius 300 91531
vilnius 330 108654
vilnius 360 126098
vilnius 390 146850
vilnius 420 163974
vilnius 450 183069
vilnius 480 206147
vilnius 510 225921
vilnius 540 254931
vilnius 570 278347
vilnius 600 307697
vilnius 630 338724
vilnius 660 369068
vilnius 690 407023
vilnius 720 436390
vilnius 750 475643
vilnius 780 514588
vilnius 810 551534
vilnius 840 596726
vilnius 870 637332
vilnius 900 683156
vilnius 930 735269
vilnius 960 776490
vilnius 990 832915
vilnius 1020 883405
vilnius 1050 938538
vilnius 1080 998662
vilnius 1110 1065758
vilnius 1140 1141460
vilnius 1170 1211879
vilnius 1200 1291878
vilnius 1230 1377864
vilnius 1260 1455550
vilnius 1290 1549411
vilnius 1320 1631049
vilnius 1350 1719616
vilnius 1380 1815512
vilnius 1410 1911360
vilnius 1440 2009272
riga 0 0
riga 30 327
riga 60 654
riga 90 1308
riga 120 2618
riga 150 4255
riga 180 6547
riga 210 10149
riga 240 14082
riga 270 20636
riga 300 28828
riga 330 39976
riga 360 52102
riga 390 65876
riga 420 77021
riga 450 84887
riga 480 95382
riga 510 106195
riga 540 116033
riga 570 127835
riga 600 137996
riga 630 151116
riga 660 166845
riga 690 180617
riga 720 198975
riga 750 215685
riga 780 236679
riga 810 258314
riga 840 280304
riga 870 303263
riga 900 326572
riga 930 349203
riga 960 377397
riga 990 402655
riga 1020 431192
riga 1050 466610
